first timestamp,146
timestamp,repeats,distance_from_founder
1126,619,0
1126,281,1
1126,164,1
1126,116,3
1126,94,4
1126,94,1
1126,92,2
1126,92,1
1126,88,1
1126,86,1
1126,84,5
1126,68,2
1126,68,1
1126,63,2
1126,61,2
1126,61,2
1126,48,3
1126,46,3
1126,43,5
1126,32,2
1126,30,1
1126,19,2
1126,17,1
146,1158,0
146,228,3
146,76,1
146,75,6
146,31,1
146,29,1
146,27,5
146,26,1
146,26,4
146,23,1
146,19,1
146,15,1
146,15,1
146,14,2
146,13,1
146,13,1
1476,419,1
1476,296,2
1476,101,1
1476,91,2
1476,89,2
1476,72,3
1476,60,2
1476,56,1
1476,52,0
1476,47,2
1476,42,3
1476,36,2
1476,36,3
1476,36,4
1476,33,6
1476,32,1
1476,32,4
1476,32,2
1476,31,3
1476,31,4
1476,30,3
1476,29,2
1476,28,3
1476,28,3
1476,26,3
1476,26,3
1476,25,2
1476,25,2
1476,23,2
1476,22,1
1476,22,2
1476,22,1
1476,20,3
1476,20,2
1476,19,2
1476,19,3
1476,19,6
1476,18,2
1476,18,3
1476,16,1
1476,16,7
1476,16,2
1934,224,5
1934,135,6
1934,111,1
1934,100,2
1934,83,3
1934,69,4
1934,66,2
1934,64,2
1934,61,6
1934,53,2
1934,50,5
1934,49,4
1934,46,3
1934,44,4
1934,43,3
1934,43,6
1934,39,3
1934,37,6
1934,36,7
1934,34,6
1934,28,6
1934,24,3
1934,21,5
1934,20,4
1934,20,2
1934,19,3
1934,17,4
1934,15,4
1934,15,0
1934,14,3
2344,480,4
2344,282,3
2344,194,4
2344,161,2
2344,110,3
2344,84,5
2344,62,2
2344,59,4
2344,51,7
2344,41,5
2344,40,4
2344,38,5
2344,33,5
2344,31,4
2344,30,4
2344,30,3
2344,30,9
3079,115,8
3079,71,7
3079,57,5
3079,45,7
3079,44,8
3079,39,5
3079,32,8
3079,28,5
3079,26,7
3079,23,10
3079,23,6
3079,20,6
3079,20,8
3079,19,7
3079,19,7
3079,18,9
3079,18,6
797,979,0
797,188,1
797,82,1
797,59,4
797,49,1
797,46,1
797,41,1
797,41,3
797,39,2
797,33,2
797,32,2
797,30,6
797,28,2
797,25,3
797,25,3
797,25,3
797,24,1
797,23,3
797,23,1
797,22,1
797,22,1
797,20,1
797,18,3
797,18,1
797,17,1
797,16,4
797,15,2
797,15,1
