first timestamp,87
timestamp,repeats,distance_from_founder
1003,837,4
1003,63,5
1003,44,5
1003,39,3
1003,35,5
1003,32,6
1003,31,5
1003,29,5
1003,27,6
1003,21,5
1003,20,4
1003,20,5
1003,18,5
1003,18,4
1003,17,5
1810,386,9
1810,289,8
1810,98,7
1810,55,8
1810,45,7
1810,40,9
1810,26,8
1810,26,7
1810,24,8
1810,19,7
1810,16,7
1810,16,7
1810,16,7
1810,16,9
1810,15,10
1810,14,9
1810,14,8
200,310,2
200,273,2
200,23,3
200,18,3
200,14,0
200,11,3
200,10,3
200,9,3
200,8,2
200,8,3
200,8,3
200,7,1
200,7,4
200,7,3
200,6,3
